Title,Industry
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Hollywood
Max Steel,Hollywood
Agent Vinod,Bollywood
Oblivion,Hollywood
The Attacks of 26/11,Bollywood
Jhankaar Beats,Bollywood
Blue Oranges,Bollywood
Collide,Hollywood
Eastern Promises,Hollywood
Karam,Bollywood
Dredd,Hollywood
Fast Forward,Bollywood
Darwaza Bandh Rakho,Bollywood
R... Rajkumar,Bollywood
Vaada Raha... I Promise,Bollywood
Their Finest,Hollywood
Taarzan: The Wonder Car,Bollywood
Crimson Peak,Hollywood
Gunaah,Bollywood
The King's Speech,Hollywood
Footloose,Hollywood
The Jungle Book,Hollywood
Mr. Singh/Mrs. Mehta,Bollywood
Chuck,Hollywood
Life in a Metro,Bollywood
Jane Eyre,Hollywood
Raincoat,Bollywood
Shaadi Ka Laddoo,Bollywood
Tauba Tauba,Bollywood
Final Destination 5,Hollywood
Twin Peaks: The Missing Pieces,Hollywood
Transformers: Age of Extinction,Hollywood
Rehnaa Hai Terre Dil Mein,Bollywood
Inception,Hollywood
Dracula Untold,Hollywood
Uljhan,Bollywood
Om Jai Jagadish,Bollywood
Zokkomon,Bollywood
The World's End,Hollywood
Zootopia,Hollywood
Hello Darling,Bollywood
No Strings Attached,Hollywood
Baat Bann Gayi,Bollywood
Popcorn Khao! Mast Ho Jao,Bollywood
Clash of the Titans,Hollywood
Lady in the Water,Hollywood
Ek Din 24 Ghante,Bollywood
Dobara,Bollywood
Chhota Bheem and the Throne of Bali,Bollywood
The Devil Wears Prada,Hollywood
Cars,Hollywood
The Light Between Oceans,Hollywood
Gold,Hollywood
Sonali Cable,Bollywood
Heropanti,Bollywood
Bollywood Villa,Bollywood
Concussion,Hollywood
Bloody Isshq,Bollywood
Sing,Hollywood
Sixteen,Bollywood
Action Jackson,Bollywood
Mehbooba,Bollywood
Listen... Amaya,Bollywood
Before I Wake,Hollywood
Maharana Pratap: The First Freedom Fighter,Bollywood
The Rising: Ballad of Mangal Pandey,Bollywood
Gori Tere Pyaar Mein,Bollywood
Sex and the City,Hollywood
Superbad,Hollywood
Tangled,Hollywood
Chennai Express,Bollywood
Finding Dory,Hollywood
WALL·E,Hollywood
Daddy's Home,Hollywood
The Expendables,Hollywood
Lal Salaam,Bollywood
Pyaar Impossible!,Bollywood
Namastey London,Bollywood
U Me Aur Hum,Bollywood
Rush,Bollywood
Koi Aap Sa: But Lovers Have to Be Friends,Bollywood
Step Up,Hollywood
The Dirty Relation,Bollywood
Toonpur Ka Superrhero,Bollywood
Harry Potter and the Half-Blood Prince,Hollywood
Khanjar,Bollywood
The Other Guys,Hollywood
Garv: Pride and Honour,Bollywood
No Country for Old Men,Hollywood
Why Him?,Hollywood
American Wrestler: The Wizard,Hollywood
Enemmy,Bollywood
We Need to Talk About Kevin,Hollywood
3 AM: A Paranormal Experience,Bollywood
Danger,Bollywood
Boss,Bollywood
Mallika,Bollywood
Taken 3,Hollywood
Akhiyon Se Goli Maare,Bollywood
Dil Vil Pyar Vyar,Bollywood
Winter's Bone,Hollywood
Lafangey Parindey,Bollywood
Turbo Kid,Hollywood
Hathyar: Face to Face with Reality,Bollywood
War on Everyone,Hollywood
The Xpose,Bollywood
Main Prem Ki Diwani Hoon,Bollywood
Revolutionary Road,Hollywood
Dabangg 2,Bollywood
Tere Naam,Bollywood
Underworld: Rise of the Lycans,Hollywood
Absolutely Anything,Hollywood
Yeh Faasley,Bollywood
Tum Milo Toh Sahi,Bollywood
Fareb,Bollywood
Tall Men,Hollywood
Step Brothers,Hollywood
Krishna Cottage,Bollywood
